,0
0,-0.0615046456
1,0.0126537349
2,0.0279216359
3,0.0427288112
4,0.0212131324
5,0.0398206397
6,0.0518128525
7,0.0447794446
8,0.0484998804
9,0.0422174849
10,0.0414611474
11,0.0256659385
12,0.0323371572
13,0.0775789361
14,0.0364677203
15,0.0327392954
16,0.0797946859
17,0.0567636694
18,0.0563721836
19,0.0668730299
20,0.0380283327
21,0.0661672911
22,0.0762766505
23,0.0456716058
24,0.0621512444
25,0.0357220345
26,0.0544254147
27,0.0736507719
28,0.0556717726
29,0.0776508413
30,0.1098937313
31,0.0547023832
32,0.0742180259
33,0.0957763146
34,0.0712858858
35,0.0868520612
36,0.066873029
37,0.106287811
38,0.0664842076
39,0.1011239419
40,0.1098724256
41,0.0971744745
42,0.1344720458
43,0.0792593901
44,0.0964261261
45,0.1179684342
46,0.1116753856
47,0.0998030153
48,0.1170523074
49,0.1165702759
50,0.0894086967
51,0.0976032444
52,0.0906870161
53,0.0856376623
54,0.0873154542
55,0.0858587038
56,0.1288660903
57,0.1236915687
58,0.1212148281
59,0.1111853654
60,0.0932303344
61,0.1033583346
62,0.0916777122
63,0.0889453081
64,0.0876856323
65,0.1113211861
66,0.1253480547
67,0.1014062391
68,0.0753285667
69,0.0786415392
70,0.0864845469
71,0.077014346
72,0.0835737115
73,0.0846496291
74,0.0805190675
75,0.0822874046
76,0.0896750129
77,0.0933208793
78,0.0808519627
79,0.1020800184
80,0.1109243739
81,0.1231243163
82,0.122029754
83,0.1046206729
84,0.0859891971
85,0.0922742588
86,0.083642953
87,0.0938242186
88,0.0945299567
89,0.0764683972
90,0.0881277178
91,0.0761568075
92,0.0727958989
93,0.0693098211
94,0.0682924935
95,0.0802527498
96,0.0782047798
97,0.0834538686
98,0.0827081835
99,0.0788439365
100,0.0964767258
101,0.1005593526
102,0.086359377
103,0.0928361842
104,0.0962024206
105,0.1080108761
106,0.0945512624
107,0.1288367951
108,0.0786761581
109,0.1057605067
110,0.1102505942
111,0.089195644
112,0.0851023651
113,0.0905751605
114,0.0805989603
115,0.0750169766
116,0.0974541077
117,0.087160989
118,0.088905359
119,0.0859838732
120,0.0809265303
121,0.0871929481
122,0.0872675161
123,0.0806974981
124,0.0884472965
125,0.1181069184
126,0.0850171438
127,0.0859918628
128,0.1005620147
129,0.1043969659
130,0.0949027992
131,0.0996299097
132,0.095424778
